dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,2530,500,4,1.0000,0,0.2091,0.4156,0.3008,0.7595,0.7285,0.7543,0.7338,0.6986,0.7591,0.7609,48.7613,69.9240,79.0909,0.4289,0.2794,0.5126,0.3012,0.2095,0.4522,0.0254,0.4501,0.3862
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,3224,500,4,1.0000,0,0.5416,0.7204,0.5957,0.7154,0.7528,0.7337,0.7715,0.7664,0.7154,0.7709,58.2725,40.4285,45.8437,0.7807,0.7035,0.4175,0.5958,0.5416,0.7807,0.0264,0.4819,0.5577
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,2716,500,4,1.0000,0,0.5567,0.6693,0.5041,0.7919,0.8309,0.8000,0.8247,0.8381,0.7816,0.8355,56.9689,49.5936,44.3299,0.7121,0.6226,0.4304,0.5044,0.5567,0.7239,0.0268,0.4206,0.5703
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,2192,500,4,1.0000,0,0.1533,0.2602,0.0486,0.7564,0.6429,0.7643,0.5974,0.6992,0.7510,0.7898,49.8233,95.1363,84.6715,0.2235,0.0853,0.5018,0.0493,0.1537,0.2208,0.0280,0.5138,0.4690
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,2565,500,4,1.0000,0,0.4717,0.5887,0.4346,0.8177,0.8414,0.8301,0.8340,0.8432,0.8176,0.8429,57.2876,56.5369,52.8265,0.6222,0.4955,0.4273,0.4347,0.4721,0.6273,0.0274,0.4515,0.5579
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,2530,500,4,1.0000,0,0.2091,0.0213,0.3869,0.5123,0.5956,0.6046,0.5945,0.5743,0.5132,0.6034,48.3220,61.3053,79.0909,0.0221,0.3498,0.5170,0.3874,0.2095,0.0225,0.2554,0.3101,0.9945
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,3224,500,4,1.0000,0,0.5416,0.0277,0.3744,0.5074,0.6146,0.6028,0.5811,0.6065,0.5055,0.6152,47.8057,62.5572,45.8437,0.0276,0.6721,0.5220,0.3747,0.5416,0.0242,0.1736,0.8179,0.9913
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,2716,500,4,1.0000,0,0.5567,0.0495,0.8803,0.5335,0.6533,0.6550,0.5842,0.6554,0.5321,0.6554,49.2151,11.9713,44.3299,0.0497,0.5909,0.5081,0.8803,0.5567,0.0482,0.1170,0.6207,0.9882
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,2192,500,4,1.0000,0,0.1533,0.0076,0.2934,0.5062,0.6403,0.6290,0.6464,0.6184,0.5065,0.6330,44.1776,70.6641,84.6715,0.0073,0.3577,0.5584,0.2938,0.1537,0.0068,0.3808,0.6904,0.9977
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,2565,500,4,1.0000,0,0.4717,0.0206,0.3038,0.5058,0.6741,0.6649,0.6205,0.6578,0.5038,0.6736,49.3341,69.6220,52.8265,0.0203,0.6012,0.5068,0.3041,0.4721,0.0183,0.1728,0.7656,0.9930
