dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,10,2375,238,0.6703,0.9370,1.3978,0.1401
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,20,2375,475,0.6703,0.9158,1.3662,0.2732
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,30,2375,712,0.6703,0.8975,1.3389,0.4014
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5,1885,94,0.7156,0.8191,1.1446,0.0571
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,10,1885,188,0.7156,0.7819,1.0926,0.1090
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,20,1885,377,0.7156,0.7639,1.0675,0.2135
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,30,1885,566,0.7156,0.7509,1.0492,0.3150
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,5,1885,94,0.7156,0.7660,1.0703,0.0534
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,10,1885,188,0.7156,0.7553,1.0554,0.1053
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,20,1885,377,0.7156,0.7188,1.0044,0.2009
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,30,1885,566,0.7156,0.7297,1.0196,0.3062
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5,1885,94,0.7156,0.9362,1.3081,0.0652
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,10,1885,188,0.7156,0.9096,1.2710,0.1268
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,20,1885,377,0.7156,0.8700,1.2157,0.2431
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,30,1885,566,0.7156,0.8622,1.2048,0.3617
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5,1885,95,0.7156,0.9895,1.3826,0.0697
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,10,1885,189,0.7156,0.9894,1.3825,0.1386
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,20,1885,377,0.7156,0.9920,1.3862,0.2772
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,30,1885,566,0.7156,0.9912,1.3850,0.4159
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5,1885,94,0.7156,0.9894,1.3825,0.0689
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,10,1885,188,0.7156,0.9840,1.3750,0.1371
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,20,1885,377,0.7156,0.9894,1.3825,0.2765
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,30,1885,566,0.7156,0.9700,1.3554,0.4070
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,5,1375,69,0.3338,0.7826,2.3444,0.1176
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,10,1375,138,0.3338,0.6884,2.0622,0.2070
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,20,1375,275,0.3338,0.6364,1.9063,0.3813
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,30,1375,412,0.3338,0.5971,1.7887,0.5359
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,5,1092,55,0.2766,0.6909,2.4983,0.1258
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,10,1092,109,0.2766,0.6055,2.1894,0.2185
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,20,1092,218,0.2766,0.5780,2.0899,0.4172
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,30,1092,328,0.2766,0.5030,1.8190,0.5464
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,5,1114,56,0.2343,0.7679,3.2774,0.1648
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,10,1114,111,0.2343,0.5946,2.5378,0.2529
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,20,1114,223,0.2343,0.5157,2.2011,0.4406
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,30,1114,334,0.2343,0.4491,1.9169,0.5747
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,5,1114,56,0.2343,0.1786,0.7622,0.0383
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,10,1114,111,0.2343,0.1622,0.6921,0.0690
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,20,1114,223,0.2343,0.2108,0.8996,0.1801
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,30,1114,334,0.2343,0.2305,0.9840,0.2950
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,5,1114,56,0.2343,0.7679,3.2774,0.1648
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,10,1114,111,0.2343,0.6486,2.7686,0.2759
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,20,1114,223,0.2343,0.5426,2.3159,0.4636
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,30,1114,334,0.2343,0.4910,2.0958,0.6284
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,5,1114,56,0.2343,0.2679,1.1433,0.0575
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,10,1114,111,0.2343,0.2883,1.2305,0.1226
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,20,1114,223,0.2343,0.2870,1.2250,0.2452
