dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,20,2192,438,0.1533,0.4292,2.8002,0.5595
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,30,2192,658,0.1533,0.3678,2.3993,0.7202
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,5,2192,110,0.1533,0.4273,2.7874,0.1399
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,10,2192,219,0.1533,0.4064,2.6512,0.2649
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,20,2192,438,0.1533,0.3767,2.4576,0.4911
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,30,2192,658,0.1533,0.3480,2.2704,0.6815
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,5,2192,110,0.1533,0.2455,1.6013,0.0804
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,10,2192,219,0.1533,0.2283,1.4895,0.1488
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,20,2192,438,0.1533,0.2420,1.5788,0.3155
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,30,2192,658,0.1533,0.2432,1.5863,0.4762
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,5,2192,110,0.1533,0.1727,1.1268,0.0565
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,10,2192,219,0.1533,0.2055,1.3405,0.1339
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,20,2192,438,0.1533,0.2329,1.5192,0.3036
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,30,2192,658,0.1533,0.2462,1.6062,0.4821
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,5,2565,128,0.4717,0.5625,1.1924,0.0595
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,10,2565,256,0.4717,0.5898,1.2504,0.1248
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,20,2565,513,0.4717,0.6082,1.2893,0.2579
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,30,2565,770,0.4717,0.6299,1.3352,0.4008
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,5,2565,128,0.4717,0.9844,2.0867,0.1041
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,10,2565,256,0.4717,0.9805,2.0784,0.2074
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,20,2565,513,0.4717,0.9571,2.0289,0.4058
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,30,2565,770,0.4717,0.9195,1.9491,0.5851
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,5,2565,128,0.4717,0.7578,1.6064,0.0802
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,10,2565,256,0.4717,0.7656,1.6230,0.1620
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,20,2565,513,0.4717,0.7388,1.5661,0.3132
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,30,2565,770,0.4717,0.7104,1.5059,0.4521
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,5,2565,128,0.4717,0.6094,1.2918,0.0645
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,10,2565,256,0.4717,0.6016,1.2752,0.1273
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,20,2565,513,0.4717,0.6335,1.3430,0.2686
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,30,2565,770,0.4717,0.6286,1.3325,0.4000
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,5,2565,128,0.4717,0.9922,2.1033,0.1050
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,10,2565,256,0.4717,0.9922,2.1033,0.2099
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,20,2565,513,0.4717,0.9708,2.0579,0.4116
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,30,2565,770,0.4717,0.9455,2.0042,0.6017
