dataset,target,assessor,arm,scope,n,base,majority,agree,lift_maj,bal_acc,tpr,tnr,say_inc,tp,fp,tn,fn
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-mean,3304,0.3308,0.6692,0.6601,-0.0091,0.4962,0.0119,0.9806,0.0169,13,43,2168,1080
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,3304,0.3308,0.6692,0.6120,-0.0572,0.4876,0.1199,0.8553,0.1365,131,320,1891,962
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,SPLIT-action,3304,0.3308,0.6692,0.6616,-0.0076,0.5027,0.0329,0.9724,0.0294,36,61,2150,1057
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,SPLIT-thought,3304,0.3308,0.6692,0.6550,-0.0142,0.4986,0.0366,0.9607,0.0384,40,87,2124,1053
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-mean,6790,0.8863,0.8863,0.8730,-0.0133,0.7968,0.8955,0.6982,0.8280,5389,233,539,629
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6790,0.8863,0.8863,0.9196,0.0333,0.7096,0.9814,0.4378,0.9337,5906,434,338,112
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-action,6790,0.8863,0.8863,0.9000,0.0137,0.8295,0.9207,0.7383,0.8458,5541,202,570,477
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6790,0.8863,0.8863,0.7968,-0.0895,0.7115,0.8219,0.6010,0.7738,4946,308,464,1072
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-mean,6790,0.8863,0.8863,0.1492,-0.7371,0.5076,0.0437,0.9715,0.0420,263,22,750,5755
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6790,0.8863,0.8863,0.1744,-0.7119,0.5167,0.0736,0.9598,0.0698,443,31,741,5575
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,6790,0.8863,0.8863,0.1566,-0.7297,0.5072,0.0533,0.9611,0.0517,321,30,742,5697
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,6790,0.8863,0.8863,0.1639,-0.7224,0.5086,0.0625,0.9547,0.0605,376,35,737,5642
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-mean,6790,0.8863,0.8863,0.4361,-0.4502,0.5802,0.3937,0.7668,0.3754,2369,180,592,3649
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6790,0.8863,0.8863,0.3969,-0.4894,0.5068,0.3646,0.6490,0.3630,2194,271,501,3824
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-action,6790,0.8863,0.8863,0.3143,-0.5720,0.5437,0.2468,0.8407,0.2368,1485,123,649,4533
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-thought,6790,0.8863,0.8863,0.5505,-0.3358,0.5804,0.5417,0.6192,0.5234,3260,294,478,2758
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-mean,6790,0.8863,0.8863,0.9193,0.0330,0.7100,0.9809,0.4391,0.9331,5903,433,339,115
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6790,0.8863,0.8863,0.9227,0.0364,0.7068,0.9862,0.4275,0.9392,5935,442,330,83
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-action,6790,0.8863,0.8863,0.9270,0.0406,0.7262,0.9860,0.4663,0.9346,5934,412,360,84
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-thought,6790,0.8863,0.8863,0.8622,-0.0242,0.6586,0.9221,0.3951,0.8860,5549,467,305,469
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-mean,6790,0.8863,0.8863,0.1604,-0.7259,0.4671,0.0701,0.8640,0.0776,422,105,667,5596
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6790,0.8863,0.8863,0.2730,-0.6133,0.4194,0.2300,0.6088,0.2483,1384,302,470,4634
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-action,6790,0.8863,0.8863,0.1894,-0.6969,0.4721,0.1062,0.8381,0.1125,639,125,647,5379
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-thought,6790,0.8863,0.8863,0.2149,-0.6714,0.4617,0.1422,0.7811,0.1510,856,169,603,5162
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,2530,0.2091,0.7909,0.8004,0.0095,0.5303,0.0662,0.9945,0.0182,35,11,1990,494
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,2530,0.2091,0.7909,0.8174,0.0265,0.6899,0.4707,0.9090,0.1704,249,182,1819,280
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,2530,0.2091,0.7909,0.8083,0.0174,0.5812,0.1909,0.9715,0.0625,101,57,1944,428
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,2530,0.2091,0.7909,0.7889,-0.0020,0.5134,0.0397,0.9870,0.0186,21,26,1975,508
