construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,220,0.5774,0.5346,0.0428,-0.0623,0.1480
violation,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,220,0.5774,0.6498,-0.0724,-0.1716,0.0312
violation,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,220,0.5774,0.5113,0.0660,-0.0320,0.1659
violation,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,246,0.7338,0.6958,0.0328,-0.0216,0.0896
violation,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,246,0.7338,0.6627,0.0658,-0.0041,0.1401
violation,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,246,0.7338,0.5542,0.1744,0.0859,0.2612
violation,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,246,0.7338,0.6976,0.0310,-0.0304,0.0896
violation,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,246,0.7338,0.6264,0.1022,-0.0077,0.2059
violation,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,227,0.8135,0.8688,-0.0553,-0.1088,-0.0023
violation,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,227,0.8135,0.7013,0.1122,0.0136,0.2090
violation,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,227,0.8135,0.5824,0.2311,0.1174,0.3408
violation,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,227,0.8135,0.8176,-0.0041,-0.0593,0.0604
violation,alfworld,deepseek-v4-flash,deepseek-v4-flash,0,141,0.8135,0.7532,0.0539,-0.0412,0.1493
violation,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,227,0.8135,0.5240,0.2896,0.1787,0.4001
violation,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,238,0.6539,0.6853,-0.0314,-0.0847,0.0292
violation,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,238,0.6539,0.7392,-0.0853,-0.1895,0.0095
violation,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,238,0.6539,0.5469,0.1070,-0.0095,0.2191
violation,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,1,238,0.6539,0.7029,-0.0489,-0.1272,0.0275
violation,alfworld,gemma-3-4b-it,gemma-3-4b-it,0,238,0.6539,0.3961,0.2579,0.1431,0.3736
violation,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,134,0.7872,0.9753,-0.1881,-0.3079,-0.0807
violation,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,134,0.7872,0.9533,-0.1661,-0.2898,-0.0596
violation,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,134,0.7872,0.8581,-0.0709,-0.1905,0.0666
violation,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,134,0.7872,0.9803,-0.1931,-0.3109,-0.0963
violation,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,134,0.7872,0.8178,-0.0307,-0.2122,0.1707
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,177,0.9600,0.9771,-0.0171,-0.0595,0.0000
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,177,0.9600,0.9800,-0.0200,-0.0836,0.0237
